path,kind,extension,bytes,sha256,dimensions_or_filetype,content_type,url
assets/gifs/digital_twin.gif,graphic_asset,gif,343837,aba63ed50243c9f784bdee9ef73cfb8d8f79cc7d2db2ec4259d1e829312d1f0a,"GIF image data, version 89a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/digital_twin.gif
assets/gifs/draggable_things.gif,graphic_asset,gif,1859807,71a1cae141bf8bf6ab3f4edbb57033874ad4d2b1dd3841e29ea09e0e0be6435f,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/draggable_things.gif
assets/gifs/essence.gif,graphic_asset,gif,206875,0a6427796526bfc7da5c498d7431cadb528f13d301affcc2701eeebff642ef1d,"GIF image data, version 87a, 764 x 398",image/gif,https://opcloud-sandbox.web.app/assets/gifs/essence.gif
assets/gifs/find_things.gif,graphic_asset,gif,891037,2af73ff76f2a2f368f750e9c0e6fe62f9d2c21d3f1ca47528fb0a586de615285,"GIF image data, version 89a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/find_things.gif
assets/gifs/handle_navigator.gif,graphic_asset,gif,2928907,e7b5cfeadbd112b064976b180328e1250757b3c65185f7776d17ed1132b08cbb,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/handle_navigator.gif
assets/gifs/hyperlink_url.gif,graphic_asset,gif,1234795,04f8e297b3a0602aa4f71d01c2e4404d802630d01d67d1b1ad6e8ea3e6a309ae,"GIF image data, version 89a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/hyperlink_url.gif
assets/gifs/in_diagram_inzoom.gif,graphic_asset,gif,1365402,f596be1f5d4091c358a945e75889086e2b710aec490033883f8a69d9ccfad3a5,"GIF image data, version 89a, 1176 x 1080",image/gif,https://opcloud-sandbox.web.app/assets/gifs/in_diagram_inzoom.gif
assets/gifs/magnify.gif,graphic_asset,gif,995012,796719a8eb5239d3553ccc031c0b2c759b842c6375da982042865380c453b1ed,"GIF image data, version 89a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/magnify.gif
assets/gifs/model_chat_button.gif,graphic_asset,gif,1040670,501f1b795cbbe62cacb03e31c30eaa6fe2044796c037f61140e6465a0bdc4a58,"GIF image data, version 89a, 1114 x 764",image/gif,https://opcloud-sandbox.web.app/assets/gifs/model_chat_button.gif
assets/gifs/model_chat_handle.gif,graphic_asset,gif,1177975,7f7cf50721f2b766ca7a69302d01893d06cfe6c686eabfa5a20615f904a6fb6e,"GIF image data, version 87a, 1056 x 646",image/gif,https://opcloud-sandbox.web.app/assets/gifs/model_chat_handle.gif
assets/gifs/opd_tree_menu.gif,graphic_asset,gif,1524155,e7e48e330b310bcaa2dd3b0a73a020358ed8ff465f57f9b9dd3261444a0020f3,"GIF image data, version 87a, 1136 x 616",image/gif,https://opcloud-sandbox.web.app/assets/gifs/opd_tree_menu.gif
assets/gifs/opl_pane.gif,graphic_asset,gif,4726376,18482ae70a65ed6414c515e5fc6e169d3f4f429decfc3dc710f9d8b36db1c8c9,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/opl_pane.gif
assets/gifs/remove_time_duration.gif,graphic_asset,gif,144270,24f117514ba9f3c208c9f209120f9e204b426325b1aba7b0d5e8bd98bcaad92a,"GIF image data, version 89a, 772 x 470",image/gif,https://opcloud-sandbox.web.app/assets/gifs/remove_time_duration.gif
assets/gifs/set_time_duration.gif,graphic_asset,gif,785849,c498bf5fbf33223998b6c65b6fbb3ba7e98000cab56135654abc8d4c29802a68,"GIF image data, version 89a, 930 x 654",image/gif,https://opcloud-sandbox.web.app/assets/gifs/set_time_duration.gif
assets/gifs/set_units.gif,graphic_asset,gif,1007106,98f7be1544646efe934f37cca70c15083f5a027a8f80fa2d3e8e183941fc2218,"GIF image data, version 87a, 1026 x 662",image/gif,https://opcloud-sandbox.web.app/assets/gifs/set_units.gif
assets/gifs/state_set_time_duration.gif,graphic_asset,gif,1068982,69312e727df48b96c5f8e7d93b9caed925271c8b5f4f63fc5653490c01954d18,"GIF image data, version 87a, 1040 x 782",image/gif,https://opcloud-sandbox.web.app/assets/gifs/state_set_time_duration.gif
assets/gifs/suppress_single_state.gif,graphic_asset,gif,392021,b0aa62e611668d1a2a92880de8a9360e3cb4c21aa2a032f5be15516ff0d4cddd,"GIF image data, version 89a, 994 x 552",image/gif,https://opcloud-sandbox.web.app/assets/gifs/suppress_single_state.gif
assets/gifs/suppress_states.gif,graphic_asset,gif,317543,884517c0ce24af9e797d05c3989936e9b1fe10df579fad69605efc9ee8d35259,"GIF image data, version 87a, 1192 x 678",image/gif,https://opcloud-sandbox.web.app/assets/gifs/suppress_states.gif
assets/gifs/thing_autoresize.gif,graphic_asset,gif,387928,27b4e806768691c4ffb2503717437fd2eb7db53b097d53dc0a9eb819b24e8943,"GIF image data, version 89a, 1118 x 578",image/gif,https://opcloud-sandbox.web.app/assets/gifs/thing_autoresize.gif
assets/gifs/thing_inzooming.gif,graphic_asset,gif,850289,a233e9116851876d0f267d8c5f62141eb466d90b0eded4b7d4df9cd8a78b24df,"GIF image data, version 87a, 1264 x 1028",image/gif,https://opcloud-sandbox.web.app/assets/gifs/thing_inzooming.gif
assets/gifs/thing_tree_view.gif,graphic_asset,gif,566048,9a2996d8fdf46a90062a78221d891b4ced781b59ddf0b802f9fcb3ccbfd0be62,"GIF image data, version 89a, 1074 x 738",image/gif,https://opcloud-sandbox.web.app/assets/gifs/thing_tree_view.gif
assets/gifs/toggle_mark_things.gif,graphic_asset,gif,1799761,97276e826370ba1328dc57507bd51b53f865435518514f8f388ef1662f07d9a5,"GIF image data, version 87a, 1056 x 1080",image/gif,https://opcloud-sandbox.web.app/assets/gifs/toggle_mark_things.gif
assets/gifs/toggle_navigator.gif,graphic_asset,gif,244905,982d5149c19f511d286229601be8603f5a3a0c894861b96832dd4c5194d2f972,"GIF image data, version 87a, 934 x 602",image/gif,https://opcloud-sandbox.web.app/assets/gifs/toggle_navigator.gif
assets/gifs/toggle_notes.gif,graphic_asset,gif,2121834,eeab04d872834405c2c2d3b2df73376747b44a67e6b35f75b92ddee1ff3e8e5f,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/toggle_notes.gif
assets/gifs/toggle_range_type.gif,graphic_asset,gif,447123,6b3c24489ed46389919a52a75d9a241cb78e41076a656efd72b7dd42240fd588,"GIF image data, version 89a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/toggle_range_type.gif
assets/gifs/toggle_requirement.gif,graphic_asset,gif,414121,e866ce4a72943bf5f672d5986945361e3dd896ccbdf37b26d466469e21ee512b,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/toggle_requirement.gif
assets/gifs/toggle_single_requirement.gif,graphic_asset,gif,813998,eb2ec47a197a69556b2fff033fd5f63c537044bd1f56e1f5e9db700ff217c0e4,"GIF image data, version 89a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/toggle_single_requirement.gif
assets/gifs/unfolding.gif,graphic_asset,gif,1133313,8fdd2086fe93ff489d65fe2071114b2ed15aeca1f80aea454f51b5c6f53dea37,"GIF image data, version 87a, 1226 x 802",image/gif,https://opcloud-sandbox.web.app/assets/gifs/unfolding.gif
assets/gifs/update_computation.gif,graphic_asset,gif,416506,76797eb3df442b283583b967ef02dc463fe02b74d6256bf7fa72b7d16c4a842a,"GIF image data, version 87a, 712 x 346",image/gif,https://opcloud-sandbox.web.app/assets/gifs/update_computation.gif
assets/icons/2fcrYFNaTjcS6g4U3t-Y5UEw0lE80llgEseQY3FEmqw.woff2,font_asset,woff2,47576,7b5115124509aca2daff5b9a56bca15000a2a2823b38a299ac1f8e054b8fb4f9,,font/woff2,https://opcloud-sandbox.web.app/assets/icons/2fcrYFNaTjcS6g4U3t-Y5UEw0lE80llgEseQY3FEmqw.woff2
assets/icons/OPM_Links/Agents.png,graphic_asset,png,832,00ed19a0ca9eb4d6b6f547013212daacc037eb647b15718f5ec92fbd75d1c3fa,"PNG image data, 77 x 78, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/OPM_Links/Agents.png
assets/icons/OPM_Links/Consumptions.png,graphic_asset,png,1182,b1fa3203197484753a3219aab61055ab5d3448b10ae391957ca190a9cc36f970,"PNG image data, 77 x 78, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/OPM_Links/Consumptions.png
assets/icons/OPM_Links/Effects.png,graphic_asset,png,1412,0e14324c47c2c7e1ec88162e08a10e62b8397526eecb465f9893e9458b8b3f86,"PNG image data, 77 x 78, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/OPM_Links/Effects.png
assets/icons/OPM_Links/Instruments.png,graphic_asset,png,861,1754c4c50c3493cb8e97fe34d2cf616bf516fce91540fcb4958815c2fe54e99a,"PNG image data, 77 x 78, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/OPM_Links/Instruments.png
assets/icons/OPM_Links/Structrial.png,graphic_asset,png,2246,585f10f7f031a9b7756fecdb4eb9049b4f3984131b29660eceb8ec20e6198a07,"PNG image data, 78 x 156, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/OPM_Links/Structrial.png
assets/icons/essenceAffil/AffilObject.JPG,graphic_asset,jpg,6308,bde86a81623cec90440e24c37b465cbbaa655142d60485922eb61b484f7bfbd2,"JPEG image data, JFIF standard 1.01, resolution (DPI), density 144x144, segment length 16, baseline, precision 8, 301x56, components 3",image/jpeg,https://opcloud-sandbox.web.app/assets/icons/essenceAffil/AffilObject.JPG
assets/icons/essenceAffil/AffilProcess.JPG,graphic_asset,jpg,8385,ca5479bcc811c155c5b7135357dc57cf63502e7a8e4f1f55afc66a877f9db3c0,"JPEG image data, JFIF standard 1.01, resolution (DPI), density 144x144, segment length 16, baseline, precision 8, 306x64, components 3",image/jpeg,https://opcloud-sandbox.web.app/assets/icons/essenceAffil/AffilProcess.JPG
assets/icons/essenceAffil/EssObject.JPG,graphic_asset,jpg,6281,1b1bac57131085e63d33443f3461606ecaadae352329ff7cb8f0bbae05d59c0a,"JPEG image data, JFIF standard 1.01, resolution (DPI), density 144x144, segment length 16, baseline, precision 8, 311x66, components 3",image/jpeg,https://opcloud-sandbox.web.app/assets/icons/essenceAffil/EssObject.JPG
assets/icons/essenceAffil/EssProcess.jpg,graphic_asset,jpg,8825,6933d5f6e9255beab1c779ee5cabb79e5d25291a2e00884a24197254e414f3b2,"JPEG image data, JFIF standard 1.01, resolution (DPI), density 144x144, segment length 16, baseline, precision 8, 310x76, components 3",image/jpeg,https://opcloud-sandbox.web.app/assets/icons/essenceAffil/EssProcess.jpg
assets/icons/expand_more-24px.svg,graphic_asset,svg,182,fe0ef658114738f046347758fc2f00dddd7e98fadc930048e34675d9153472ac,viewBox 0 0 24 24,image/svg+xml,https://opcloud-sandbox.web.app/assets/icons/expand_more-24px.svg
assets/icons/key-icon.png,graphic_asset,png,190,a6f5736757207fcba11b22a8914ca9b5b8d5f933ab091ce1e4d0551739f2a208,"PNG image data, 18 x 18, 8-bit gray+alpha, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/key-icon.png
assets/icons/pin.png,graphic_asset,png,237610,2b3da9d3cd7f244e795ebeaa9d0c3a007fa76b169e71dda8450a30b8bb537a57,"PNG image data, 728 x 728, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/pin.png
assets/icons/select_arrow.png,graphic_asset,png,236,440bfee4878ba8b2271ee292827b59d2f794a7c5e14d26323b3515edf050c08b,"PNG image data, 9 x 5, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/select_arrow.png
assets/icons/token-icon.png,graphic_asset,png,165,9f0ae4d5380001f540e3bacad2b26e4be822481d311b7a73fa3bfec29e9f52bf,"PNG image data, 18 x 18, 8-bit gray+alpha, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/token-icon.png
assets/icons/toolbar-icons-dark.woff,font_asset,woff,3532,2c45bbb30bc4cdce1ba4c84f631571fdd64213b09519948e32d41fc56e54091f,,font/woff,https://opcloud-sandbox.web.app/assets/icons/toolbar-icons-dark.woff
assets/icons/toolbar-icons-material.png,graphic_asset,png,4247,7448afb175d4f46ea0939adf661da3b2e2df7983ad5f348de8d25e3ca56c78b4,"PNG image data, 128 x 138, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/toolbar-icons-material.png
assets/icons/toolbar-icons-modern.png,graphic_asset,png,11794,cfa6e9c7b56398fd569bea25266786246de5e576a599c3eb993ea2b0eb285969,"PNG image data, 62 x 279, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/assets/icons/toolbar-icons-modern.png
favicon_new.ico,graphic_asset,ico,11758,995046f97188c8ef6cec4657bf40b6f89dd732eab4cde999877634946e4d531c,"MS Windows icon resource - 1 icon, 65x43, 32 bits/pixel",image/x-icon,https://opcloud-sandbox.web.app/favicon_new.ico
logo.png,asset_reference_fallback,png,54181,96c4b685636d2af7127284150a523f8f8435c037042e8af89c3adfccfd3a8b12,"HTML document text, ASCII text, with very long lines (48780), with CRLF line terminators",text/html; charset=utf-8,https://opcloud-sandbox.web.app/logo.png
select_arrow.a4ed714c584e5393.png,graphic_asset,png,236,440bfee4878ba8b2271ee292827b59d2f794a7c5e14d26323b3515edf050c08b,"PNG image data, 9 x 5, 8-bit/color RGBA, non-interlaced",image/png,https://opcloud-sandbox.web.app/select_arrow.a4ed714c584e5393.png
